condition,dx_code,dx_method
Malignancy,01621310,HIC
Malignancy,01989430,HIC
Malignancy,02018110,HIC
Malignancy,01579110,HIC
Malignancy,01986570,HIC
Malignancy,01890141,HIC
Malignancy,01821110,HIC
Malignancy,02059119,HIC
Malignancy,01791310,HIC
Malignancy,01963120,HIC
Malignancy,01972110,HIC
Malignancy,01989440,HIC
Malignancy,01990400,HIC
Malignancy,01890140,HIC
Malignancy,01791240,HIC
Malignancy,01730110,HIC
Malignancy,01791311,HIC
Malignancy,01791630,HIC
Malignancy,01534111,HIC
Malignancy,02079120,HIC
Malignancy,01736230,HIC
Malignancy,01790660,HIC
Malignancy,02001115,HIC
Malignancy,02019110,HIC
Malignancy,01986110,HIC
Malignancy,01738150,HIC
Malignancy,01960140,HIC
Malignancy,01729230,HIC
Malignancy,01790650,HIC
Malignancy,01973310,HIC
Malignancy,01732112,HIC
Malignancy,02025121,HIC
Malignancy,01792860,HIC
Malignancy,01733113,HIC
Malignancy,01961110,HIC
Malignancy,01740110,HIC
Malignancy,02001210,HIC
Malignancy,01986270,HIC
Malignancy,01850250,HIC
Malignancy,01982270,HIC
Malignancy,01983110,HIC
Malignancy,01733112,HIC
Malignancy,01960141,HIC
Malignancy,02022164,HIC
Malignancy,01800117,HIC
Malignancy,01734310,HIC
Malignancy,01790570,HIC
Malignancy,01790890,HIC
Malignancy,01791990,HIC
Malignancy,01961130,HIC
Malignancy,01733115,HIC
Malignancy,02022161,HIC
Malignancy,01790520,HIC
Malignancy,02001120,HIC
Malignancy,01739110,HIC
Malignancy,01729110,HIC
Malignancy,01420110,HIC
Malignancy,01800110,HIC
Malignancy,01911110,HIC
Malignancy,01732113,HIC
Malignancy,01621110,HIC
Malignancy,01560110,HIC
Malignancy,01961120,HIC
Malignancy,01850111,HIC
Malignancy,01809113,HIC
Malignancy,01621210,HIC
Malignancy,01990140,HIC
Malignancy,01736110,HIC
Malignancy,01880111,HIC
Malignancy,01791810,HIC
Malignancy,02030110,HIC
Malignancy,01737130,HIC
Malignancy,01964110,HIC
Malignancy,01984110,HIC
Malignancy,01850110,HIC
Malignancy,01541110,HIC
Malignancy,01533111,HIC
Malignancy,01790622,HIC
Malignancy,01792160,HIC
Malignancy,01792850,HIC
Malignancy,01790560,HIC
Malignancy,01733118,HIC
Malignancy,01893110,HIC
Malignancy,01982210,HIC
Malignancy,02022210,HIC
Malignancy,01986450,HIC
Malignancy,01899120,HIC
Malignancy,02070110,HIC
Malignancy,01962110,HIC
Malignancy,02019113,HIC
Malignancy,01792880,HIC
Malignancy,02041110,HIC
Malignancy,01790630,HIC
Malignancy,01792830,HIC
Malignancy,01962130,HIC
Malignancy,01977110,HIC
Malignancy,01518110,HIC
Malignancy,01602110,HIC
Malignancy,C88.4,I10
Malignancy,D04.5,I10
Malignancy,C49.4,I10
Malignancy,C83.10,I10
Malignancy,C44.01,I10
Malignancy,C44.629,I10
Malignancy,C81.75,I10
Malignancy,C34.82,I10
Malignancy,C83.31,I10
Malignancy,C78.89,I10
Malignancy,C34.31,I10
Malignancy,C44.399,I10
Malignancy,D04.39,I10
Malignancy,C44.90,I10
Malignancy,D03.59,I10
Malignancy,C16.2,I10
Malignancy,C85.90,I10
Malignancy,C24.9,I10
Malignancy,C44.329,I10
Malignancy,C50.919,I10
Malignancy,C57.9,I10
Malignancy,C7A.8,I10
Malignancy,D07.5,I10
Malignancy,C81.90,I10
Malignancy,C18.2,I10
Malignancy,D03.9,I10
Malignancy,C49.3,I10
Malignancy,C50.412,I10
Malignancy,C7A.019,I10
Malignancy,C50.812,I10
Malignancy,C18.9,I10
Malignancy,C90.02,I10
Malignancy,C86.6,I10
Malignancy,C76.52,I10
Malignancy,C78.4,I10
Malignancy,C7B.00,I10
Malignancy,C64.1,I10
Malignancy,D04.62,I10
Malignancy,C50.811,I10
Malignancy,C85.93,I10
Malignancy,D06.9,I10
Malignancy,C77.8,I10
Malignancy,C7A.090,I10
Malignancy,C43.59,I10
Malignancy,C37,I10
Malignancy,C10.8,I10
Malignancy,C38.8,I10
Malignancy,C82.10,I10
Malignancy,C67.4,I10
Malignancy,C81.10,I10
Malignancy,C50.119,I10
Malignancy,C79.71,I10
Malignancy,C02.8,I10
Malignancy,C77.2,I10
Malignancy,C85.98,I10
Malignancy,C11.9,I10
Malignancy,C7A.00,I10
Malignancy,C79.72,I10
Malignancy,C79.89,I10
Malignancy,C25.9,I10
Malignancy,C09.9,I10
Malignancy,D04.9,I10
Malignancy,C45.0,I10
Malignancy,C46.1,I10
Malignancy,C79.52,I10
Malignancy,C14.0,I10
Malignancy,C50.112,I10
Malignancy,C44.621,I10
Malignancy,C69.32,I10
Malignancy,C43.72,I10
Malignancy,C34.12,I10
Malignancy,C49.0,I10
Malignancy,C7B.01,I10
Malignancy,C83.00,I10
Malignancy,C7B.04,I10
Malignancy,D06.7,I10
Malignancy,C82.90,I10
Malignancy,C22.8,I10
Malignancy,C44.612,I10
Malignancy,C77.5,I10
Malignancy,C67.3,I10
Malignancy,C85.19,I10
Malignancy,C44.99,I10
Malignancy,C82.03,I10
Malignancy,C79.51,I10
Malignancy,C92.00,I10
Malignancy,C79.82,I10
Malignancy,C77.1,I10
Malignancy,C62.90,I10
Malignancy,C84.A5,I10
Malignancy,C91.42,I10
Malignancy,C22.0,I10
Malignancy,C50.419,I10
Malignancy,C56.1,I10
Malignancy,C78.6,I10
Malignancy,C77.3,I10
Malignancy,C44.229,I10
Malignancy,C79.70,I10
Malignancy,C34.90,I10
Malignancy,C84.00,I10
Malignancy,C19,I10
Malignancy,D05.12,I10
Malignancy,C84.A0,I10
Malignancy,C67.5,I10
Malignancy,D05.82,I10
Malignancy,C65.2,I10
Malignancy,C71.2,I10
Malignancy,D09.8,I10
Malignancy,C43.30,I10
Malignancy,C16.9,I10
Malignancy,C50.011,I10
Malignancy,C07,I10
Malignancy,C85.89,I10
Malignancy,C91.10,I10
Malignancy,C78.5,I10
Malignancy,C50.511,I10
Malignancy,C76.8,I10
Malignancy,C20,I10
Malignancy,D04.61,I10
Malignancy,C44.622,I10
Malignancy,C69.61,I10
Malignancy,C82.11,I10
Malignancy,C7B.09,I10
Malignancy,C91.12,I10
Malignancy,C67.8,I10
Malignancy,C41.0,I10
Malignancy,C50.111,I10
Malignancy,C79.01,I10
Malignancy,C22.1,I10
Malignancy,C50.312,I10
Malignancy,C44.320,I10
Malignancy,C84.Z0,I10
Malignancy,C43.4,I10
Malignancy,D09.0,I10
Malignancy,C79.2,I10
Malignancy,C77.4,I10
Malignancy,C56.2,I10
Malignancy,C80.1,I10
Malignancy,C78.00,I10
Malignancy,C44.309,I10
Malignancy,C44.311,I10
Malignancy,C76.0,I10
Malignancy,C64.9,I10
Malignancy,C34.80,I10
Malignancy,C7A.095,I10
Malignancy,C78.7,I10
Malignancy,C34.32,I10
Malignancy,C09.8,I10
Malignancy,C34.91,I10
Malignancy,C94.6,I10
Malignancy,C69.60,I10
Malignancy,C78.02,I10
Malignancy,C45.7,I10
Malignancy,C7A.1,I10
Malignancy,C25.1,I10
Malignancy,C85.80,I10
Malignancy,C15.5,I10
Malignancy,C49.9,I10
Malignancy,C21.1,I10
Malignancy,C79.31,I10
Malignancy,C91.40,I10
Malignancy,C7A.022,I10
Malignancy,C43.70,I10
Malignancy,C67.9,I10
Malignancy,C82.98,I10
Malignancy,C44.619,I10
Malignancy,C34.92,I10
Malignancy,C02.9,I10
Malignancy,C79.60,I10
Malignancy,C7A.012,I10
Malignancy,C44.529,I10
Malignancy,C93.10,I10
Malignancy,C24.1,I10
Malignancy,C90.00,I10
Malignancy,D04.4,I10
Malignancy,C44.91,I10
Malignancy,C71.6,I10
Malignancy,C91.11,I10
Malignancy,C48.2,I10
Malignancy,C56.9,I10
Malignancy,C61,I10
Malignancy,C83.39,I10
Malignancy,C84.09,I10
Malignancy,C76.1,I10
Malignancy,C50.911,I10
Malignancy,C25.0,I10
Malignancy,C95.12,I10
Malignancy,C44.300,I10
Malignancy,C43.9,I10
Malignancy,C34.01,I10
Malignancy,C50.912,I10
Malignancy,C54.1,I10
Malignancy,C67.6,I10
Malignancy,C16.0,I10
Malignancy,C7A.011,I10
Malignancy,C34.81,I10
Malignancy,C64.2,I10
Malignancy,C71.9,I10
Malignancy,C49.21,I10
Malignancy,C22.9,I10
Malignancy,C84.05,I10
Malignancy,C44.310,I10
Malignancy,C18.0,I10
Malignancy,C18.7,I10
Malignancy,C44.729,I10
Malignancy,C82.93,I10
Malignancy,C25.4,I10
Malignancy,C51.9,I10
Malignancy,C15.9,I10
Malignancy,C62.91,I10
Malignancy,D09.19,I10
Malignancy,D03.72,I10
Malignancy,D05.90,I10
Malignancy,C44.321,I10
Malignancy,C48.1,I10
Malignancy,C18.1,I10
Malignancy,C90.01,I10
Malignancy,C80.0,I10
Malignancy,C43.8,I10
Malignancy,C81.79,I10
Malignancy,C49.12,I10
Malignancy,C88.0,I10
Malignancy,C44.319,I10
Malignancy,C44.42,I10
Malignancy,C44.519,I10
Malignancy,C41.2,I10
Malignancy,C43.61,I10
Malignancy,C34.00,I10
Malignancy,C7B.8,I10
Malignancy,C85.11,I10
Malignancy,C78.1,I10
Malignancy,C10.9,I10
Malignancy,C83.30,I10
Malignancy,C44.712,I10
Malignancy,C71.3,I10
Malignancy,C18.3,I10
Malignancy,C50.411,I10
Malignancy,C77.0,I10
Malignancy,C50.512,I10
Malignancy,C77.9,I10
Malignancy,C82.18,I10
Malignancy,C49.6,I10
Malignancy,C34.2,I10
Malignancy,D05.11,I10
Malignancy,C44.212,I10
Malignancy,C44.92,I10
Malignancy,C18.6,I10
Malignancy,C67.1,I10
Malignancy,C78.01,I10
Malignancy,C44.219,I10
Malignancy,C06.9,I10
Malignancy,C79.9,I10
Malignancy,C43.39,I10
Malignancy,C83.38,I10
Malignancy,C44.719,I10
Malignancy,C44.41,I10
Malignancy,C73,I10
Malignancy,C32.9,I10
Malignancy,C82.99,I10
Malignancy,C34.11,I10
Malignancy,D01.3,I10
Malignancy,C7B.02,I10
Malignancy,C44.722,I10
Malignancy,C45.9,I10
Malignancy,D02.4,I10
Malignancy,C79.49,I10
Obesity,278.0,I9
Obesity,V85.4,I9
Obesity,V85.42,I9
Obesity,V85.41,I9
Obesity,649.13,I9
Obesity,V45.3,I9
Obesity,649.11,I9
Obesity,V45.86,I9
Obesity,V85.43,I9
Obesity,278.03,I9
Obesity,278.01,I9
Obesity,V85.34,I9
Obesity,V85.31,I9
Obesity,278.00,I9
Obesity,V85.36,I9
Obesity,V85.30,I9
Obesity,V85.32,I9
Obesity,646.13,I9
Obesity,V85.38,I9
Obesity,V85.39,I9
Obesity,V85.33,I9
Obesity,V85.35,I9
Obesity,V85.37,I9
Obesity,278.02,I9
Obesity,02770310,HIC
Obesity,02770120,HIC
Obesity,34505111,HIC
Obesity,02770215,HIC
Obesity,02770410,HIC
Obesity,02770210,HIC
Obesity,02770411,HIC
Obesity,02770211,HIC
Obesity,Z68.53,I10
Obesity,E66.8,I10
Obesity,Z68.43,I10
Obesity,Z68.35,I10
Obesity,E66.2,I10
Obesity,E66.09,I10
Obesity,Z68.30,I10
Obesity,Z68.34,I10
Obesity,Z68.54,I10
Obesity,E66.3,I10
Obesity,Z68.41,I10
Obesity,E66.01,I10
Obesity,O99.215,I10
Obesity,O99.212,I10
Obesity,Z68.36,I10
Obesity,O99.210,I10
Obesity,Z68.39,I10
Obesity,Z68.32,I10
Obesity,E65,I10
Obesity,Z68.31,I10
Obesity,Z68.45,I10
Obesity,O99.213,I10
Obesity,E66.9,I10
Obesity,Z68.42,I10
Obesity,Z68.38,I10
Obesity,O99.214,I10
Obesity,O26.03,I10
Obesity,Z68.33,I10
Obesity,Z68.44,I10
Obesity,Z98.84,I10
Obesity,Z68.37,I10
"Pain, Back",724.1,I9
"Pain, Back",724.3,I9
"Pain, Back",724.2,I9
"Pain, Back",724.5,I9
"Pain, Back",724.4,I9
"Pain, Back",07891410,HIC
"Pain, Back",07891211,HIC
"Pain, Back",07891111,HIC
"Pain, Back",07891510,HIC
"Pain, Back",07891215,HIC
"Pain, Back",07891310,HIC
"Pain, Back",07891110,HIC
"Pain, Back",03530113,HIC
"Pain, Back",07891113,HIC
"Pain, Back",07891320,HIC
"Pain, Back",M54.41,I10
"Pain, Back",M54.31,I10
"Pain, Back",M54.6,I10
"Pain, Back",M54.32,I10
"Pain, Back",M54.40,I10
"Pain, Back",M54.5,I10
"Pain, Back",M54.42,I10
"Pain, Back",M54.9,I10
"Pain, Back",M54.30,I10
